From,To,Grab,Tada,Zig,Ryde,Gojek
Orchard,Marina Bay,,,,,
Marina Bay,Orchard,,,,,
Marina Bay Sands The Shoppes,High Tide Bistro,,,,,
High Tide Bistro,Marina Bay Sands The Shoppes,,,,,
12 Jalan Bahasa,West Coast Park,,,,,
West Coast Park,12 Jalan Bahasa,,,,,
Marina Bay Sands The Shoppes,Prince George's Park Residence NUS,,,,,
12 Jalan Bahasa,Terminal 1/ Jewel- Changi Airport,,,,,
Terminal 1/ Jewel- Changi Airport,12 Jalan Bahasa,,,,,
NTU Sports & Recreation Centre,Terminal 1/ Jewel- Changi Airport,,,,,
Terminal 1/ Jewel- Changi Airport,NTU Sports & Recreation Centre,,,,,
Queenstown MRT Station (EW19),Terminal 1/ Jewel- Changi Airport,,,,,
Terminal 1/ Jewel- Changi Airport,Queenstown MRT Station (EW19),,,,,
Toa Payoh MRT Station (NS19),Labrador Park MRT Station (CC27),,,,,
Labrador Park MRT Station (CC27),Toa Payoh MRT Station (NS19),,,,,
Clementi MRT Station (EW23),Bukit Timah Shopping Centre,,,,,
Bukit Timah Shopping Centre,Clementi MRT Station (EW23),,,,,
Jurong West Sports Centre,Bukit Timah Shopping Centre,,,,,
Bukit Timah Shopping Centre,Jurong West Sports Centre,,,,,
Drip Singapore,Kent Ridge MRT Station (CC24),,,,,
Kent Ridge MRT Station (CC24),Drip Singapore,,,,,
Zouk- The Cannery,Holland Village MRT Station,,,,,
Holland Village MRT Station,Zouk- The Cannery,,,,,
Tuas Link MRT Station (EW33),Bukit Timah Shopping Centre,,,,,
Bukit Timah Shopping Centre,Tuas Link MRT Station (EW33),,,,,